Suspicion,Şüphe,He was arrested on suspicion of murder.,Cinayet şüphesiyle tutuklandı.
Sustain,Sürdürmek/Ayakta tutmak,We need to sustain economic growth.,Ekonomik büyümeyi sürdürmemiz gerekiyor.
Sustainable,Sürdürülebilir,Sustainable energy is vital for the future.,Sürdürülebilir enerji gelecek için hayati önem taşır.
Switch,Değiştirmek/Anahtar,Let's switch seats.,Hadi yerleri (koltukları) değiştirelim.
Symbol,Sembol,The dove is a symbol of peace.,Güvercin barışın sembolüdür.
Sympathetic,Sempatik/Anlayışlı,She was very sympathetic to my problem.,Sorunuma karşı çok anlayışlıydı.
Symptom,Belirti/Semptom,Fever is a common symptom of the flu.,Ateş gribin yaygın bir belirtisidir.
Syndrome,Sendrom,Down syndrome is a genetic condition.,Down sendromu genetik bir durumdur.
Systematic,Sistemli,We need a systematic approach to solve this.,Bunu çözmek için sistemli bir yaklaşıma ihtiyacımız var.
Tackle,Ele almak/Mücadele etmek,We need to tackle the problem of unemployment.,İşsizlik sorununu ele almamız gerekiyor.
Tactic,Taktik,They used aggressive tactics to win.,Kazanmak için saldırgan taktikler kullandılar.
Tangible,Somut/Elle tutulur,We need tangible evidence to proceed.,Devam etmek için somut kanıtlara ihtiyacımız var.
Target,Hedef,Our target is to increase sales by ten percent.,Hedefimiz satışları yüzde on artırmaktır.
Tariff,Tarife/Gümrük vergisi,The government imposed tariffs on imported steel.,Hükümet ithal çeliğe gümrük vergisi uyguladı.
Taxation,Vergilendirme,The system of taxation needs reform.,Vergilendirme sisteminin reforma ihtiyacı var.
Technical,Teknik,We are experiencing some technical difficulties.,Bazı teknik zorluklar yaşıyoruz.
Technique,Teknik,He used a special technique to paint the sky.,Gökyüzünü boyamak için özel bir teknik kullandı.
Technology,Teknoloji,Modern technology has changed our lives.,Modern teknoloji hayatımızı değiştirdi.
Temporary,Geçici,This is a temporary solution to the problem.,Bu soruna geçici bir çözümdür.
Tempt,Ayartmak/Cezbetmek,Don't tempt me with chocolate cake.,Beni çikolatalı kekle ayartma.
Tenant,Kiracı,The tenant pays rent every month.,Kiracı her ay kira öder.
Tendency,Eğilim,He has a tendency to talk too much.,Çok konuşma eğilimi var.
Tension,Gerginlik,There is a lot of tension in the office.,Ofiste çok fazla gerginlik var.
Tentative,Kesin olmayan/Geçici,We have a tentative agreement.,Kesin olmayan (geçici) bir anlaşmamız var.
Terminal,Terminal/Ölümcül,He was diagnosed with a terminal illness.,Ölümcül bir hastalık teşhisi kondu.
Terminate,Sonlandırmak,The company terminated his contract.,Şirket sözleşmesini sonlandırdı.
Terrain,Arazi,The rough terrain made walking difficult.,Engebeli arazi yürümeyi zorlaştırdı.
Territory,Bölge/Toprak,Soldiers defend their territory.,Askerler bölgelerini savunurlar.
Terror,Terör/Dehşet,People fled in terror from the explosion.,İnsanlar patlamadan dehşet içinde kaçtılar.
Testimony,Tanıklık/İfade,The witness gave false testimony in court.,Tanık mahkemede yalan ifade verdi.
Texture,Doku,The fabric has a smooth texture.,Kumaşın pürüzsüz bir dokusu var.
Theology,İlahiyat,He is studying theology at the seminary.,İlahiyat okulunda ilahiyat okuyor.
Theoretical,Teorik,This is a theoretical possibility not a fact.,Bu teorik bir olasılıktır bir gerçek değil.
Therapy,Terapi,Physical therapy helped him walk again.,Fizik tedavi tekrar yürümesine yardımcı oldu.
Thesis,Tez,She is writing her doctoral thesis.,Doktora tezini yazıyor.
Thorough,Kapsamlı/Titiz,The police conducted a thorough investigation.,Polis kapsamlı bir soruşturma yürüttü.
Threat,Tehdit,Climate change is a global threat.,İklim değişikliği küresel bir tehdittir.
Threshold,Eşik,We are on the threshold of a new era.,Yeni bir çağın eşiğindeyiz.
Thrive,Gelişmek/Serpilmek,Children thrive in a loving environment.,Çocuklar sevgi dolu bir ortamda gelişirler.
Tide,Gelgit/Akıntı,The tide is coming in.,Gelgit yükseliyor (sular geliyor).
Time,Zaman,Time management is important.,Zaman yönetimi önemlidir.
Tissue,Doku/Kağıt mendil,Muscle tissue repairs itself after exercise.,Kas dokusu egzersizden sonra kendini onarır.
Title,Başlık/Unvan,The title of the book is intriguing.,Kitabın başlığı ilgi çekici.
Tolerate,Tahammül etmek,I will not tolerate such behavior.,Böyle bir davranışa tahammül etmeyeceğim.
Toll,Ücret/Kaybedilenler,The death toll from the earthquake is rising.,Depremden kaynaklanan ölü sayısı artıyor.
Torture,İşkence,Torture is a violation of human rights.,İşkence insan haklarının ihlalidir.
Total,Toplam,The total cost was higher than expected.,Toplam maliyet beklenenden yüksekti.
Toxic,Zehirli/Toksik,Toxic waste must be disposed of carefully.,Zehirli atıklar dikkatlice atılmalıdır.
Trace,İz/İzini sürmek,Police found no trace of the missing child.,Polis kayıp çocuğun izine rastlamadı.
Trademark,Ticari marka,The logo is a registered trademark.,Logo tescilli bir ticari markadır.
Tradition,Gelenek,We follow the tradition of our ancestors.,Atalarımızın geleneğini takip ediyoruz.
Traffic,Trafik,Heavy traffic delayed our arrival.,Yoğun trafik varışımızı geciktirdi.
Tragedy,Trajedi,The accident was a terrible tragedy.,Kaza korkunç bir trajediydi.
Trail,İz/Patika,We followed the trail through the forest.,Orman boyunca patikayı (izi) takip ettik.
Trait,Özellik/Karakteristik,Honesty is a desirable personality trait.,Dürüstlük arzu edilen bir kişilik özelliğidir.
Transaction,İşlem,The bank charges a fee for each transaction.,Banka her işlem için bir ücret alır.
Transfer,Transfer etmek,Please transfer the funds to my account.,Lütfen fonları hesabıma transfer edin.
Transform,Dönüştürmek,Technology has transformed our lives completely.,Teknoloji hayatımızı tamamen dönüştürdü.
Transition,Geçiş,The transition from school to work can be hard.,Okuldan işe geçiş zor olabilir.
Transmission,İletim/Bulaşma,Masks prevent the transmission of the virus.,Maskeler virüsün bulaşmasını (iletimini) önler.
Transmit,İletmek/Yayınlamak,The radio station transmits signals globally.,Radyo istasyonu sinyalleri küresel olarak iletir.
Transparency,Şeffaflık,We need more transparency in government.,Hükümette daha fazla şeffaflığa ihtiyacımız var.
Transport,Taşımak/Ulaşım,Public transport is cheap and efficient.,Toplu taşıma ucuz ve verimlidir.
Trauma,Travma,She suffered severe emotional trauma.,Şiddetli duygusal travma geçirdi.
Treaty,Antlaşma,The two countries signed a peace treaty.,İki ülke bir barış antlaşması imzaladı.
Tremendous,Muazzam,They made a tremendous effort to finish on time.,Zamanında bitirmek için muazzam bir çaba gösterdiler.
Trend,Eğilim/Trend,There is a growing trend towards healthy eating.,Sağlıklı beslenmeye doğru artan bir eğilim var.
Trial,Duruşma/Deneme,The murder trial lasted for three weeks.,Cinayet duruşması üç hafta sürdü.
Tribunal,Mahkeme/Divan,An international tribunal tried the war criminals.,Uluslararası bir mahkeme savaş suçlularını yargıladı.
Tribute,Övgü/Anma,They paid tribute to the fallen soldiers.,Düşen askerleri andılar (övgüde bulundular).
Trigger,Tetiklemek,Stress can trigger a headache.,Stres baş ağrısını tetikleyebilir.
Triumph,Zafer,It was a great triumph for the team.,Takım için büyük bir zaferdi.
Troop,Birlik (Asker),Troops were sent to the border.,Birlikler sınıra gönderildi.
Tropical,Tropikal,They went on a holiday to a tropical island.,Tropikal bir adaya tatile gittiler.
Trustee,Mütevelli/Yönetici,He is a trustee of the charity.,O hayır kurumunun bir mütevellisidir.
Turbulence,Türbülans,The plane experienced severe turbulence.,Uçak şiddetli türbülans yaşadı.
Turnover,Ciro/Devir hızı,The company has a high staff turnover.,Şirketin yüksek bir personel devir hızı var.
Typical,Tipik,It was a typical winter day cold and rainy.,Tipik bir kış günüydü soğuk ve yağmurlu.
Tyranny,Zorbalık/Tiranlık,People rose up against the tyranny of the dictator.,İnsanlar diktatörün zorbalığına karşı ayaklandılar.
Ultimate,Nihai/En son,Our ultimate goal is peace.,Nihai hedefimiz barıştır.
Unanimous,Oybirliğiyle,The decision was unanimous.,Karar oybirliğiyle alındı.
Undergo,Geçirmek (Ameliyat/Değişim),He needs to undergo surgery immediately.,Derhal ameliyat geçirmesi gerekiyor.
Underlying,Altta yatan,Stress is the underlying cause of his illness.,Stres hastalığının altta yatan nedenidir.
Undermine,Baltalamak/Zayıflatmak,Criticism can undermine your confidence.,Eleştiri güveninizi baltalayabilir.
Undertake,Üstlenmek,She undertook the responsibility of organizing the event.,Etkinliği düzenleme sorumluluğunu üstlendi.
Unfold,Gözler önüne serilmek,The story unfolded gradually.,Hikaye yavaş yavaş gözler önüne serildi.
Unify,Birleştirmek,Sports can help to unify a divided nation.,Spor bölünmüş bir ulusu birleştirmeye yardımcı olabilir.
Unique,Eşsiz,Everyone has a unique fingerprint.,Herkesin eşsiz bir parmak izi vardır.
Universal,Evrensel,Music is a universal language.,Müzik evrensel bir dildir.
Unprecedented,Eşi benzeri görülmemiş,The flood caused unprecedented damage.,Sel eşi benzeri görülmemiş hasara neden oldu.
Unrest,Huzursuzluk/Kargaşa,There is growing social unrest in the country.,Ülkede artan bir sosyal huzursuzluk var.
Unveil,Ortaya çıkarmak/Tanıtmak,The company unveiled its new car model.,Şirket yeni araba modelini tanıttı (örtüsünü kaldırdı).
Urban,Kentsel,Urban areas are often crowded and noisy.,Kentsel alanlar genellikle kalabalık ve gürültülüdür.
Urgent,Acil,I need to make an urgent phone call.,Acil bir telefon görüşmesi yapmam gerekiyor.
Utility,Kamu hizmeti/Fayda,Utility bills like water and electricity are rising.,Su ve elektrik gibi kamu hizmeti faturaları artıyor.
Utilize,Kullanmak/Yararlanmak,We must utilize our resources efficiently.,Kaynaklarımızı verimli bir şekilde kullanmalıyız.
Utter,Tam/Söylemek,It was utter chaos in the streets.,Sokaklarda tam bir kaos vardı.
Vacancy,Boş yer/Açık kadro,There is a vacancy in the sales department.,Satış departmanında açık bir kadro var.
Vacant,Boş,The seat next to me is vacant.,Yanımdaki koltuk boş.
Vague,Belirsiz,He gave a vague answer to my question.,Soruma belirsiz bir cevap verdi.
Valid,Geçerli,Your passport must be valid for six months.,Pasaportunuz altı ay geçerli olmalıdır.
Validation,Doğrulama,He seeks validation from his peers.,Akranlarından doğrulama (onay) arıyor.
Validity,Geçerlilik,Experts questioned the validity of the results.,Uzmanlar sonuçların geçerliliğini sorguladı.
Valuable,Değerli,Time is our most valuable asset.,Zaman en değerli varlığımızdır.
Variable,Değişken,Temperature is a variable in this experiment.,Sıcaklık bu deneyde bir değişkendir.
Variation,Varyasyon/Çeşitlilik,There is great variation in prices between stores.,Mağazalar arasında fiyatlarda büyük bir varyasyon var.
Vast,Geniş/Büyük,Russia is a vast country.,Rusya geniş bir ülkedir.
Vehicle,Araç,Electric vehicles are becoming more popular.,Elektrikli araçlar daha popüler hale geliyor.
Velocity,Hız,Light travels at a very high velocity.,Işık çok yüksek bir hızda seyahat eder.
Venture,Girişim/Riskli iş,This business venture is quite risky.,Bu iş girişimi oldukça riskli.
Venue,Mekan,The stadium is the perfect venue for the concert.,Stadyum konser için mükemmel bir mekan.
Verdict,Karar (Mahkeme),The jury delivered a verdict of not guilty.,Jüri suçsuz kararı verdi.
Verify,Doğrulamak,Please verify your email address.,Lütfen e-posta adresinizi doğrulayın.
Versatile,Çok yönlü,This tool is very versatile and useful.,Bu alet çok yönlü ve kullanışlıdır.
Vertical,Dikey,Draw a vertical line on the paper.,Kağıda dikey bir çizgi çizin.
Vessel,Gemi/Damar,The blood vessel was blocked.,Kan damarı tıkanmıştı.
Veteran,Gazi/Kıdemli,He is a veteran of the Second World War.,İkinci Dünya Savaşı gazisidir.
Viable,Uygulanabilir/Yaşayabilir,We need a viable solution to the problem.,Soruna uygulanabilir bir çözüme ihtiyacımız var.
Vibrant,Canlı/Hareketli,The city has a vibrant nightlife.,Şehrin canlı bir gece hayatı var.
Vice,Kötülük/Yardımcı,Greed is a vice.,Açgözlülük bir kötülüktür (erdemsizliktir).
Vicious,Acımasız/Şiddetli,The dog can be vicious if provoked.,Kışkırtılırsa köpek acımasız olabilir.
Victim,Kurban,The victim of the crime was identified.,Suçun kurbanı teşhis edildi.
Victory,Zafer,They celebrated their victory all night.,Zaferlerini bütün gece kutladılar.
Viewpoint,Bakış açısı,Try to understand the situation from my viewpoint.,Durumu benim bakış açımdan anlamaya çalış.
Vigorous,Güçlü/Enerjik,He engaged in vigorous exercise every morning.,Her sabah güçlü egzersiz yaptı.
Violate,İhlal etmek,Don't violate the rules of the road.,Trafik kurallarını ihlal etmeyin.
Violation,İhlal,It was a clear violation of human rights.,Bu insan haklarının açık bir ihlaliydi.
Violence,Şiddet,We must stop violence in schools.,Okullardaki şiddeti durdurmalıyız.
Virtual,Sanal,We held a virtual meeting via Zoom.,Zoom üzerinden sanal bir toplantı yaptık.
Virtue,Erdem,Patience is a virtue.,Sabır bir erdemdir.
Virus,Virüs,The computer was infected by a virus.,Bilgisayara bir virüs bulaştı.
Visible,Görünür,The stars are visible on a clear night.,Yıldızlar açık bir gecede görünürdür.
Vision,Vizyon/Görme,He has a vision for a better future.,Daha iyi bir gelecek için bir vizyonu var.
Vital,Hayati,Water is vital for all living things.,Su tüm canlılar için hayatidir.
Vivid,Canlı/Parlak,I have vivid memories of my childhood.,Çocukluğuma dair canlı anılarım var.
Vocational,Mesleki,Vocational training helps students find jobs.,Mesleki eğitim öğrencilerin iş bulmasına yardımcı olur.
Void,Geçersiz/Boşluk,The contract was declared void.,Sözleşme geçersiz ilan edildi.
Volatile,Değişken/Uçucu,The stock market can be very volatile.,Borsa çok değişken olabilir.
Volcano,Yanardağ,The volcano erupted after years of silence.,Yanardağ yıllarca süren sessizlikten sonra patladı.
Volume,Hacim/Ses,Turn up the volume I can't hear.,Sesi aç duyamıyorum.
Voluntary,Gönüllü,Participation in the survey is voluntary.,Ankete katılım gönüllülük esasına dayanır.
Volunteer,Gönüllü,She works as a volunteer at the hospital.,Hastanede gönüllü olarak çalışıyor.
Vote,Oy vermek,Don't forget to vote in the election.,Seçimde oy vermeyi unutmayın.
Vow,Yemin etmek,He vowed to never give up.,Asla vazgeçmeyeceğine yemin etti.
Vulnerable,Savunmasız/Hassas,Children are vulnerable and need protection.,Çocuklar savunmasızdır ve korunmaya ihtiyaçları vardır.
Wage,Ücret (Saatlik),Minimum wage laws protect workers.,Asgari ücret yasaları işçileri korur.
Wander,Gezinmek/Dolaşmak,We wandered around the city for hours.,Saatlerce şehirde gezindik.
